Key,English [en-GB]
ERROR_CHOREO_00006,Could not process Start Turn
ERROR_CHOREO_00007,Could not process Action Selection
ERROR_CHOREO_00008,Could not process Long Rest
ERROR_CHOREO_00009,Could not process Short Rest
ERROR_CHOREO_00010,Could not process Start Ability
ERROR_CHOREO_00011,Could not process Start Second Merged Ability
ERROR_CHOREO_00012,Could not process Selecting Move Tile
ERROR_CHOREO_00013,Could not process Move
ERROR_CHOREO_00014,Could not process Move
ERROR_CHOREO_00015,Could not process Update Prop Transparency
ERROR_CHOREO_00016,Could not process Invalid Move
ERROR_CHOREO_00017,Could not process Teleporting
ERROR_CHOREO_00018,Could not process Teleported
ERROR_CHOREO_00019,Could not process Selecting Attack Focus Targets
ERROR_CHOREO_00020,Could not process Selected Attack Focus
ERROR_CHOREO_00021,Could not process ActorIsSelectingActiveBonusBuffTarget
ERROR_CHOREO_00022,Could not process Update Attack Focus After Attack Effect InlineSubAbility
ERROR_CHOREO_00023,Could not process Attacking
ERROR_CHOREO_00024,Could not process Target Ability Range
ERROR_CHOREO_00025,Could not process Has Attacked
ERROR_CHOREO_00026,Could not process Been Attacked
ERROR_CHOREO_00027,Could not process AttackAndKilled
ERROR_CHOREO_00028,Could not process Invalid Attack
ERROR_CHOREO_00029,Could not process waiting for Idle
ERROR_CHOREO_00030,Could not process waiting for Avoid Damage
ERROR_CHOREO_00031,Could not process Avoid Damage
ERROR_CHOREO_00032,Could not process Not Avoid Damage
ERROR_CHOREO_00033,Could not process Finish Avoid Damage
ERROR_CHOREO_00034,Could not process Attack Done
ERROR_CHOREO_00035,Could not process Killing
ERROR_CHOREO_00036,Could not process Healing
ERROR_CHOREO_00037,Could not process Healed
ERROR_CHOREO_00038,Could not process Invalid Heal
ERROR_CHOREO_00039,Could not process ActorIsRefreshingItemCards
ERROR_CHOREO_00040,Could not process ActorHasRefreshedItemCards
ERROR_CHOREO_00041,Could not process SelectRefreshItems
ERROR_CHOREO_00042,Could not process Selecting Target Focus
ERROR_CHOREO_00043,Could not process Actor Confirming Damage Ability
ERROR_CHOREO_00044,Could not process Has Damaged
ERROR_CHOREO_00045,Could not process Been Damaged
ERROR_CHOREO_00046,Could not process Looting
ERROR_CHOREO_00047,Could not process Selected Tile
ERROR_CHOREO_00048,Could not process Placing Trap
ERROR_CHOREO_00049,Could not process Disarm Trap
ERROR_CHOREO_00050,Could not process Destroy Obstacle
ERROR_CHOREO_00051,Could not process Destroy Obstacle By Push
ERROR_CHOREO_00052,Could not process Prevent Damage
ERROR_CHOREO_00053,Could not process Prevent Damage Triggered
ERROR_CHOREO_00054,Could not process Target Shield
ERROR_CHOREO_00055,Could not process Attack Buff
ERROR_CHOREO_00056,Could not process Target Attack Buff
ERROR_CHOREO_00057,Could not process Finish Aura
ERROR_CHOREO_00058,Could not process Pause Aura
ERROR_CHOREO_00059,Could not process Unpause Aura
ERROR_CHOREO_00060,Could not process Applying Condition Active Bonus
ERROR_CHOREO_00061,Could not process Shield
ERROR_CHOREO_00062,Could not process Add Target
ERROR_CHOREO_00063,Could not process Add Heal
ERROR_CHOREO_00064,Could not process Add Active Bonus
ERROR_CHOREO_00065,Could not process Add Range
ERROR_CHOREO_00066,Could not process Attackers Gain Disadvantage
ERROR_CHOREO_00067,Could not process Retaliate
ERROR_CHOREO_00068,Could not process Invisible condition
ERROR_CHOREO_00069,Could not process Strengthen condition
ERROR_CHOREO_00070,Could not process Advantage condition
ERROR_CHOREO_00071,Could not process Muddle condition
ERROR_CHOREO_00072,Could not process Poison condition
ERROR_CHOREO_00073,Could not process Bless condition
ERROR_CHOREO_00074,Could not process Curse condition
ERROR_CHOREO_00075,Could not process Stun condition
ERROR_CHOREO_00076,Could not process Poison Triggered condition
ERROR_CHOREO_00077,Could not process Immobilize condition
ERROR_CHOREO_00078,Could not process Wound condition
ERROR_CHOREO_00079,Could not process Wound Triggered condition
ERROR_CHOREO_00080,Could not process Disarm condition
ERROR_CHOREO_00081,Could not process Target Retaliate
ERROR_CHOREO_00082,Could not process Recover Lost Cards
ERROR_CHOREO_00083,Could not process Recover Discarded Cards
ERROR_CHOREO_00084,Could not process Select Recover Cards
ERROR_CHOREO_00085,Could not process Recovered Selected Cards
ERROR_CHOREO_00086,Could not process Player Is Disarmed
ERROR_CHOREO_00087,Could not process Player Is Stunned
ERROR_CHOREO_00088,Could not process Player Is Immobilized
ERROR_CHOREO_00089,Could not process Player Selecting Object Position
ERROR_CHOREO_00090,Could not process Invalid Spawn Position
ERROR_CHOREO_00091,Could not process Placing Spawn
ERROR_CHOREO_00092,Could not process End Ability Anim Sync
ERROR_CHOREO_00093,Could not process Show Element Picker
ERROR_CHOREO_00094,Could not process End Ability
ERROR_CHOREO_00095,Could not process Ability Start Update Combat Log
ERROR_CHOREO_00096,Could not process Override Item Used Update Combat Log
ERROR_CHOREO_00097,Could not process Ability End Update Combat Log
ERROR_CHOREO_00098,Could not process Actor Dead
ERROR_CHOREO_00099,Could not process UpdateObjectiveProgress
ERROR_CHOREO_00100,Could not process End Turn
ERROR_CHOREO_00101,Could not process End Round
ERROR_CHOREO_00102,Could not process Activate Prop
ERROR_CHOREO_00103,Could not process Deactivate Prop
ERROR_CHOREO_00104,Could not process Actor Selected Tile To Pull Towards
ERROR_CHOREO_00105,Could not process Selecting Pull Tile
ERROR_CHOREO_00106,Could not process Pulling
ERROR_CHOREO_00107,Could not process Pulled
ERROR_CHOREO_00108,Could not process Selecting Push Tile
ERROR_CHOREO_00109,Could not process Pushing
ERROR_CHOREO_00110,Could not process Pushed
ERROR_CHOREO_00111,Could not process Update Additional Push Damage Preview
ERROR_CHOREO_00112,Could not process Action Ability Has Happened
ERROR_CHOREO_00113,Could not process Spawn
ERROR_CHOREO_00114,Could not process Summon
ERROR_CHOREO_00115,Could not process RevealProp
ERROR_CHOREO_00116,Could not process Elements Infused
ERROR_CHOREO_00117,Could not process Wait For Progress
ERROR_CHOREO_00118,Could not process Clear Waypoints And Targets
ERROR_CHOREO_00119,Could not process Actor Is Applying Ally Ability
ERROR_CHOREO_00120,Could not process Actor Is Applying Control Enemy
ERROR_CHOREO_00121,Could not process Enemy Is Controlled
ERROR_CHOREO_00122,Could not process Actor Is Applying Add Augment
ERROR_CHOREO_00123,Could not process Apply To Actor Add Augment
ERROR_CHOREO_00124,Could not process Actor Is Applying Add Song
ERROR_CHOREO_00125,Could not process Apply To Actor Add Song
ERROR_CHOREO_00126,Could not process Actor Is Applying Override Augment Attack Type
ERROR_CHOREO_00127,Could not process Apply To Actor Override Augment Attack Type
ERROR_CHOREO_00128,Could not process Update Current Actor
ERROR_CHOREO_00129,Could not process On Item Callback
ERROR_CHOREO_00130,Could not process Item Ability Unstacking
ERROR_CHOREO_00131,Could not process Ability Updated
ERROR_CHOREO_00132,Could not process Clear All Actor Events
ERROR_CHOREO_00133,Could not process Active Bonus Tracker Incremented
ERROR_CHOREO_00134,Could not process Active Bonus Augment Added
ERROR_CHOREO_00135,Could not process Active Bonus Augment Slot Choice
ERROR_CHOREO_00136,Could not process Active Bonus Song Added
ERROR_CHOREO_00137,Could not process Active Bonus Song Slot Choice
ERROR_CHOREO_00138,Could not process Refresh Hex Display
ERROR_CHOREO_00139,Could not process Refresh Active Bonus UI
ERROR_CHOREO_00140,Could not process Locking Waypoints From Clearing
ERROR_CHOREO_00141,Could not process Cache Waypoints
ERROR_CHOREO_00142,Could not process Restore Waypoints
ERROR_CHOREO_00143,Could not process Actor Earned XP
ERROR_CHOREO_00144,Could not process Send Message To Worldspace
ERROR_CHOREO_00145,Could not process Enable End Turn Button
ERROR_CHOREO_00146,Could not process Scenario Win
ERROR_CHOREO_00147,Could not process Scenario Lose
ERROR_CHOREO_00148,Could not process Scenario Abandon
ERROR_CHOREO_00149,Could not Create Character
ERROR_CHOREO_00150,Could not Set Character Positions
ERROR_CHOREO_00151,Could not Clear Highlighted Actors
ERROR_CHOREO_00152,Could not Load Scenario
ERROR_CHOREO_00153,Could not Start Choreographer
ERROR_CHOREO_00154,Could not process Scenario Import Callback
ERROR_CHOREO_00155,Could not Stop Choreographer
ERROR_CHOREO_00156,Could not process Choreographer Pass
ERROR_CHOREO_00157,Could not process Choreographer Pass Step
ERROR_CHOREO_00158,Could not process Choreographer Undo
ERROR_CHOREO_00159,Could not process Continue Tile Selection
ERROR_CHOREO_00160,Could not process Cancel Tile Selection
ERROR_CHOREO_00161,Could not process Waiting For Exhaustion Clear
ERROR_CHOREO_00162,Could not process Waiting For Rewards Process
ERROR_CHOREO_00163,Could not process Waiting For Push Waypoint Selection
ERROR_CHOREO_00164,Could not process Waiting For Pull Waypoint Selection
ERROR_CHOREO_00165,Could not process Waiting For Waypoint Selection
ERROR_CHOREO_00166,Could not process Waiting For Card Selection
ERROR_CHOREO_00167,Could not process Waiting For Move Anim
ERROR_CHOREO_00168,Could not process Waiting For Area Attack Focus Selection
ERROR_CHOREO_00169,Could not process Waiting For Attack Modifer Cards
ERROR_CHOREO_00170,Could not process Waiting For Attack Anim
ERROR_CHOREO_00171,Could not process Waiting For Modifier Draw Anim
ERROR_CHOREO_00172,Could not process Waiting For Damage Anim
ERROR_CHOREO_00173,Could not process Waiting For General Anim
ERROR_CHOREO_00174,Could not process Waiting For Progress Choreographer
ERROR_CHOREO_00175,Could not process Waiting For Player Idle
ERROR_CHOREO_00176,Could not process Waiting For End Ability Anim Sync
ERROR_CHOREO_00177,Could not process Waiting For End Turn Sync
ERROR_CHOREO_00178,Loading scenario could not complete
ERROR_CHOREO_00179,Could not process Spawner Spawning Unit
ERROR_CHOREO_00180,Could not process Activate Objective
ERROR_CHOREO_00181,Could not process Waiting For Autosave
ERROR_CHOREO_00182,Could not process Autosaves
ERROR_CHOREO_00183,Could not Finish Processing Tile Selected
ERROR_HEXDISPLAY_00001,Could not process Possible Move Stars
ERROR_HEXDISPLAY_00002,Could not process Possible Push Stars
ERROR_HEXDISPLAY_00003,Could not process Possible Pull Stars
ERROR_HEXDISPLAY_00004,Could not process Valid Move Tile Check
ERROR_HEXDISPLAY_00005,Could not process Move Path Stars
ERROR_HEXDISPLAY_00006,Could not get ability values
ERROR_HEXDISPLAY_00007,Could not process Display Attack Stars
ERROR_HEXDISPLAY_00008,Could not process Display Attack Hover Stars
ERROR_HEXDISPLAY_00009,Could not process Display Enemy AOE Stars
ERROR_HEXDISPLAY_00010,Could not process Display AOE Stars
ERROR_HEXDISPLAY_00011,Could not process Display Select Object Position AOE Stars
ERROR_HEXDISPLAY_00012,Could not process Rotate AOE
ERROR_HEXDISPLAY_00013,Could not process Clear Stars
ERROR_HEXDISPLAY_00014,Could not process Display Targeting Ability Stars
ERROR_HEXDISPLAY_00015,Could not process Display Select Object Position Stars
ERROR_HEXDISPLAY_00016,Could not process Display Possible Attack Path Stars
ERROR_HEXDISPLAY_00017,Could not process Display Attack Path Stars
ERROR_HEXDISPLAY_00018,Could not process Create Star
ERROR_HEXDISPLAY_00019,Could not process Modify Star
ERROR_HEXDISPLAY_00020,Could not process Set Hex Borders
ERROR_HEXDISPLAY_00021,Could not process Refresh Hex Borders
ERROR_HEXDISPLAY_00022,Could not process Current Ability Range Tiles
ERROR_HEXDISPLAY_00023,Could not process Highlight Tile Valid
ERROR_MAP_00001,Could not Load Map Node
ERROR_MAP_00002,Could not Initalise Map
ERROR_MAP_00003,Could not Select Node
ERROR_MAP_00004,Could not Reset All Nodes
ERROR_MAP_00005,Could not Show Node
ERROR_MAP_00006,Could not Hide Node
ERROR_MAP_00007,Could not Reveal Map Area
ERROR_MAP_00008,Could not Highlight Map Area
ERROR_MAP_00009,Could not process Map Move Click
ERROR_MAP_00010,Could not Trigger Map Event
ERROR_MAP_00011,Could not Complete Map Move
ERROR_MAP_00012,Could not process Map Move Callback
ERROR_MAP_00013,Could not UpdateNodeAndBossQuittingToMenu
ERROR_MAP_00014,Could not process End Village
ERROR_MAP_00015,Could not Refresh Node Lines
ERROR_MAP_00016,Could not Get Nodes for Current Adventure
ERROR_MAP_00017,Could not Get End Village
ERROR_MAP_00018,Could not Set Scenario Node Positions
ERROR_MAP_00019,Could not Show Node Info
ERROR_MAP_00020,Could not Get Nodes Between Villages
ERROR_MAP_00021,Could not Get Sub Nodes
ERROR_MAP_00022,Could not Get Path Length
ERROR_MAP_00023,Could not process ProgressIntro
ERROR_MAP_CHOREOGRAPHER_00001,Could not process Initialise Map
ERROR_MAP_CHOREOGRAPHER_00002,Could not process Map Client Message
ERROR_MAP_CHOREOGRAPHER_00003,Could not process On Map Location Select
ERROR_MAP_CHOREOGRAPHER_00004,Could not process On Map Location Highlight
ERROR_MAP_CHOREOGRAPHER_00005,Could not process On Move Click
ERROR_MAP_CHOREOGRAPHER_00006,Could not process Start Move
ERROR_MAP_CHOREOGRAPHER_00007,Could not process On Event Trigger
ERROR_MAP_CHOREOGRAPHER_00008,Could not process Show Encountered Event
ERROR_MAP_CHOREOGRAPHER_00009,Could not process Continue Move After Event
ERROR_MAP_CHOREOGRAPHER_00010,Could not process Complete Move Callback
ERROR_MAP_CHOREOGRAPHER_00011,Could not process Enter Scenario
ERROR_MAP_CHOREOGRAPHER_00012,Could not process Refresh Location Lines
ERROR_MAP_CHOREOGRAPHER_00013,Could not process Connect Unlocked Villages
ERROR_RULESET_00001,Failed to load Core Rulebase
ERROR_RULESET_00002,Failed to load Modded Rulebase
ERROR_RUNTIME_00001,Loading could not complete
ERROR_RUNTIME_00002,Loading scenario could not complete
ERROR_RUNTIME_00003,Post processing scenario could not complete
ERROR_SAVEDATA_00001,Loading custom scenario data could not complete
ERROR_SAVEDATA_00002,Saving custom scenario data could not complete
ERROR_SAVEDATA_00003,Old save file data could not be converted
ERROR_SAVEDATA_00004,Party save file data has been modified or corrupted and could not load
ERROR_SAVEDATA_00005,The party save file data could not be saved
ERROR_SAVEDATA_00006,"The global save file data for the game requires resetting due to a change in versions
"
ERROR_SAVEDATA_00007,The global save file data for the game has been modified or is corrupted
ERROR_SAVEDATA_00008,The global save file data for the game requires resetting as the saved Steam User does not match
ERROR_SAVEDATA_00009,The party save file data could not be completely deleted
ERROR_SAVEDATA_00010,"Party save file data has been modified or corrupted and could not load. No valid checkpoint data could be found, corrupted party data has been moved to the corrupted saves folder"
ERROR_SAVEDATA_00011,Party save file data has been modified or corrupted and could not load. Reverted to previous checkpoint data and corrupted party data has been moved to the corrupted saves folder
ERROR_SAVEDATA_00012,"Map state data has been modified or corrupted and could not load. No valid checkpoint map state data could be found, corrupted map state data has been moved to the corrupted saves folder"
ERROR_SAVEDATA_00013,Map state data has been modified or corrupted and could not load.  Reverted to previous map state data and corrupted map state data has been moved to the corrupted saves folder
ERROR_SAVEDATA_00014,Map state file data could not be saved
ERROR_SCENE_00001,Loading could not complete
ERROR_SCENE_00002,The core data for the game has been modified or is corrupted.  Ensure the Rulebase folder in the games directory is unmodified and relaunch the game
ERROR_SCENE_00003,No monster Attack Modifier Deck has been defined with the game YML.  It is not possible to play without a monster Attack Modifier deck
ERROR_SCENE_00004,Could not show loading screen
ERROR_SCENE_00005,Could not disable loading screen
ERROR_SCENE_00006,Could not load main menu
ERROR_SCENE_00007,Could not start campaign
ERROR_SCENE_00008,Could not start scenario
ERROR_SCENE_00009,Could not start random scenario
ERROR_SCENE_00010,Could not start adventure map
ERROR_SCENE_00011,Could not start adventure scenario
ERROR_SCENE_00012,Could not resume adventure scenario
ERROR_SCENE_00013,Could not process adventure map loaded
ERROR_SCENE_00014,Could not activate village
ERROR_SCENE_00015,Could not unload village
ERROR_SCENE_00016,Could not start tutorial
ERROR_SCENE_00017,Could not start custom level
ERROR_SCENE_00018,Could not process custom level loaded
ERROR_SCENE_00019,Could not start level editor
ERROR_SCENE_00020,Could not process level editor started
ERROR_STATSDATASTORAGE_00001,Could not process Scraping Event Log
ERROR_UI_00001,Could not process updating card hand elements
ERROR_UI_00002,Could not process toggling attack modifiers
ERROR_UI_00003,Could not process toggling full cards preview
ERROR_UI_00004,Could not process initialising cards hand UI
ERROR_UI_00005,Could not process hiding cards hand UI
ERROR_UI_00006,Could not process showing cards hand UI
ERROR_UI_00007,Could not process toggling cards highlight
ERROR_UI_00008,Could not process updating cards hand view
ERROR_UI_00009,Could not process updating initiative
ERROR_UI_00010,Could not process updating card effects
ERROR_UI_00011,Could not process updating short rest
ERROR_UI_00012,Could not process perform short rest
ERROR_UI_00013,Could not process perform final short rest
ERROR_UI_00014,Could not process finalize short rest
ERROR_UI_00015,Could not process get card UI
ERROR_UI_00016,Could not process toggling separators in card hands UI
ERROR_UI_00017,Could not process sort cards
ERROR_UI_00018,Could not process updating cards
ERROR_UI_00019,Could not process setting mode in cards hand UI
ERROR_UI_00020,Could not spawn card due to missing data
ERROR_UI_00021,Could not process initialising ability card
ERROR_UI_00022,Could not process initialising Long Rest card
ERROR_UI_00023,Could not process cancelling active ability
ERROR_UI_00024,Could not process card action completed
ERROR_UI_00025,Could not process card action
ERROR_UI_00026,Could not process card undo
ERROR_UI_00027,Could not process on card hover
ERROR_UI_00028,Could not process on card selected
ERROR_UI_00029,Could not process on card deselected
ERROR_UI_00030,Could not process on lose card clicked
ERROR_UI_00031,Could not process on recover card clicked
ERROR_UI_00032,Could not process selected cards number changed
ERROR_UI_00033,Could not process refreshing cancel active ability
ERROR_UI_00034,Could not process showing take damage panel
ERROR_UI_00035,Could not process updating take damage visuals
ERROR_UI_00036,Could not process updating card removal visuals
ERROR_UI_00037,Could not process previewing full hand
ERROR_UI_00038,Could not process previewing available cards
ERROR_UI_00039,Could not process previewing discarded cards
ERROR_UI_00040,Could not process previewing damage
ERROR_UI_00041,Could not process resetting preview of damage taken
ERROR_UI_00042,Could not process burning available card
ERROR_UI_00043,Could not process taking damage
ERROR_UI_00044,Could not process Toggle Shield Item
ERROR_UI_00045,Could not process Toggle Prevent Damage Active Bonus
ERROR_UI_00046,Could not process burning discarded cards
ERROR_UI_00047,Could not process toggling full cards preview
ERROR_WAYPOINT_00001,Could not process setting waypoint order
ERROR_WAYPOINT_00002,Could not process checking if player can end movement
ERROR_WAYPOINT_00003,Could not process checking for doors
ERROR_WAYPOINT_00004,Could not process ending movement
ERROR_WAYPOINT_00005,Could not process opening door
ERROR_WAYPOINT_00006,Could not process waypoint press
ERROR_WAYPOINT_00007,Could not process waypoint delete
ERROR_WAYPOINT_00008,Could not process getting next waypoint
ERROR_WAYPOINT_00009,Could not process getting tile lists
ERROR_WAYPOINT_00010,Could not process setting up waypoint
ERROR_WAYPOINT_00011,Could not process creating waypoint
ERROR_WAYPOINT_00012,Could not process setting up tile handler
EVENT_ADaggerintheChest,"The body of an Inox lies slumped against a tree stump up ahead. As you get closer, you notice a dagger protruding from her chest."
EVENT_ADaggerintheChest_A,Remove the dagger
EVENT_ADaggerintheChest_B,Leave her be
EVENT_ADaggerintheChest_DaggerRemoved,The corroded blade breaks off as you try to remove the dagger from her chest. You toss the useless hilt aside and continue down the road.
EVENT_ADaggerintheChest_DaggerRemoved_Gained1,"As you remove the dagger from the Inox you manage to nick yourself on the blade. You are suddenly overcome with a feeling of intense sickness - it would appear that the blade is in fact a Poison Dagger.

You carefully pocket the blade and continue down the road, feeling awful."
EVENT_ADaggerintheChest_DaggerRemoved_Gained2,"You remove the blade from her chest and examine it. The blade has a slight green tinge to it - this blade appears to be a Poison Dagger.

You carefully pocket the blade and continue down the road."
EVENT_ADaggerintheChest_Leave,You leave the body of the Inox be and continue down the road.
EVENT_ADiscardedFlask,"You happen upon a stoppered flask lying in the road, clearly dropped by some clumsy adventurer. You pick up the flask and notice that there is still a good amount inside, and you are feeling a tad thirsty..."
EVENT_ADiscardedFlask_A,Take a drink
EVENT_ADiscardedFlask_B,Leave the flask alone
EVENT_ADiscardedFlask_DrinkDrunk,"The flask merely contains a small amount of refreshing water. You drink your fill and continue down the road, your thirst thoroughly quenched."
EVENT_ADiscardedFlask_DrinkDrunk_Gained1,"You have no idea what it is exactly that you are drinking, but it sure is good!

You share the hearty brew around the party, feeling invigorated as you journey onward."
EVENT_ADiscardedFlask_DrinkDrunk_Gained2,"As you raise the flask to your lips you notice the overpowering stench of strong alcohol, but decide to try nonetheless. Despite your coughing, spluttering and likening of the drink to liquid fire your party members are all too keen to try the strong brew.

With the flask now empty, you all stumble onwards, somewhat inebriated."
EVENT_ADiscardedFlask_Leave,You resist the urge to drink and toss the flask aside. Perhaps random drinks are best left undrunk!
EVENT_AShortcut,"Tired of traversing a tedious route around a dense forest, you contemplate taking a path straight through the maze of branches to shorten your journey time considerably. You notice a slight clearing behind the bushes up ahead that could prove to be a shortcut through the dense forest."
EVENT_AShortcut_A,Try the potential shortcut
EVENT_AShortcut_B,Continue down the road
EVENT_AShortcut_Berries,"The berries are somehow unremarkable in just about every aspect. You rejoin the road without bothering to take any of the bland berries with you, pleased that the shortcut was a success."
EVENT_AShortcut_Berries_Gained1,"The berries not only taste foul, but seem to be poisonous too! Why exactly each and every member of your party decided to try the berries you're not quite sure, but you all feel dreadful as you now rejoin the road, clutching at your stomachs."
EVENT_AShortcut_Berries_Gained2,"The berries not only taste great, but seem to have invigorating properties of some kind - you feel better than you have in months! You fill your pockets to the brim with the delicious berries and rejoin the road."
EVENT_AShortcut_ContinueDownRoad,"After mulling it over, you decide it's perhaps best to continue down the road."
EVENT_AShortcut_TakeTheShortcut,"The clearing continues on through the forest and you are pleased to make it through to the other side. At the forest's edge, you are just about to rejoin the road when you notice a small patch of bushes nearby, adorned with strange purple berries."
EVENT_AShortcut_TakeTheShortcut_A,Try the berries
EVENT_AShortcut_TakeTheShortcut_B,Continue down the road
EVENT_AShortcut_TakeTheShortcut_Gained,"It would seem that you are not the first to have considered this route - deep in some brambles you spot some gear left behind by a previous adventurer! You take it and continue on through the forest clearing, pleased with your find."
EVENT_AbandonedCart,"A cart lies seemingly abandoned by the side of the road; whoever owns it is nowhere to be seen. The back of the cart is mostly loaded with junk, but there is a barrel loaded with food - and you are feeling rather hungry..."
EVENT_AbandonedCart_A,Eat the food
EVENT_AbandonedCart_B,Leave the cart alone
EVENT_AbandonedCart_Eat,"The food is rather stale, and after a few attempted bites at a rock-solid loaf of bread, you toss it aside with a sigh.

You continue down the road, disappointed that you hadn't come across the cart earlier when the food was still edible."
EVENT_AbandonedCart_Eat_Poison,"The food smells slightly odd, but you greedily eat your fill from the barrel nonetheless.

As you turn to leave, your stomach suddenly starts to gurgle and growl loudly. A few moments later, and you find yourself keeled over in the bushes, vomiting profusely.

Perhaps you'll think twice next time before consuming mysteriously abandoned food."
EVENT_AbandonedCart_Eat_Strengthen,"The food in the barrel is far superior to the supplies you brought with you - soft loaves of seeded bread, strips of dry-cured meat, fresh fruits and vegetables - a true feast! You fashion a hearty meal from the barrel's contents and eat your fill.

Feeling invigorated, you continue down the road."
EVENT_AbandonedCart_Leave,"Tempting as the food poking out of the barrel may be, you decide to leave the cart alone lest the owner return and continue down the path."
EVENT_AbandonedCart_Leave2,"As you begin to walk away, there is a sudden rustling of leaves from the bushes by the side of the road. A short, portly man emerges from the bushes, hoisting his breeches when he spots you and jumps slightly in surprise.

""Oh! Well met, fellow travellers,\"" he says, nodding his head in greeting. He looks over at his cart and smiles. \""Thank you for not stealing from my cart while I was... preoccupied. Y'know, I have more food than I could possibly eat back there - you're welcome to join me for a meal.\""

You accept the man's offer and partake in a meal far superior to the meagre supplies you brought with you. You finish your meal and part ways with the kind man, invigorated by the fine meal you consumed."
EVENT_AbandonedCart_Leave_A,Leave
EVENT_AbandonedCart_Leave_Gained,"Tempting as the food poking out of the barrel may be, you decide to leave the cart alone lest the owner return and continue down the path."
EVENT_AmbushAftermath,"There was a massacre here - the bodies of a group of clerics and healers lie strewn across the path. Whoever killed these people appears to be long gone.

They could still have valuables should you choose to loot them, but you also wonder whether the powers that be might smile upon those that would bury them."
EVENT_AmbushAftermath_A,Loot the bodies
EVENT_AmbushAftermath_B,Bury the bodies
EVENT_AmbushAftermath_Bury2,"Somehow you get the feeling that despite your good intentions with burying the dead, the fact you looted them first negates this good deed somewhat."
EVENT_AmbushAftermath_Bury_Bless,"You feel that you have done the right thing in burying these poor souls. Content with your good deed, you journey onward."
EVENT_AmbushAftermath_Bury_Disarm,"Just as you are about to start digging, you hear the snap of a twig underfoot. You look up to find yourself suddenly surrounded by a small group of not-so-long-gone bandits - it's an ambush! There's nowhere to run, you've no choice but to fight them."
EVENT_AmbushAftermath_C,Leave
EVENT_AmbushAftermath_Fight,"Despite being outnumbered and caught off guard by the bandits, it eventually becomes clear to them that you are far tougher than the previous group they ambushed. As they begin to turn tail and run, you notice one of the bandits running off with what little loot there was left from their previous ambush!

Suffering from injuries sustained in the battle, you decide not to stay and find out if the bandits intend to return with reinforcements."
EVENT_AmbushAftermath_Leave,"Whoever killed these people could return at any moment, and you don't quite fancy meeting the same fate - you hurriedly leave the area."
EVENT_AmbushAftermath_Loot,"The corpses have been picked clean already, there is nothing of value left at all."
EVENT_AmbushAftermath_Loot_A,Bury the bodies
EVENT_AmbushAftermath_Loot_B,Leave
EVENT_AmbushAftermath_Loot_Disarm,"As you begin to sift through corpses and their belongings, you hear the snap of a twig underfoot. You look up to find yourself suddenly surrounded by a small group of not-so-long-gone bandits - it's an ambush! There's nowhere to run, you've no choice but to fight them."
EVENT_AmbushAftermath_Loot_Disarm_A,Fight the bandits
EVENT_AmbushAftermath_Loot_Gold,"None of the gear is in good enough condition to be of use, with anything of worth likely having been looted already by whoever killed these people. You do manage to find a small quantity of gold tucked away in the pocket of one of the deceased however!"
EVENT_AmbushAftermath_Loot_Item,"Much of the gear is in too poor a condition to be of use, with anything of worth likely having been looted already. However, you do manage to find one item that could be of use to you that whoever killed these people must have missed!"
EVENT_BrokenCart,"You come across an elderly wine merchant by the side of the road. One of the wheels of his cart has fallen off and you see him struggling to put it back on. He doesn't seem to notice you as you approach, but it is clear he hasn't the strength to lift the cart to replace the wheel by himself."
EVENT_BrokenCart_A,Offer to help the wine merchant
EVENT_BrokenCart_B,Rob the wine merchant
EVENT_BrokenCart_C,Leave
EVENT_BrokenCart_Drink,"The wine is some of the finest you have ever tasted. Feeling invigorated by the fine vintage, you continue down the road."
EVENT_BrokenCart_Drink2,"The wine tastes foul - you spit it out almost immediately. With nothing else of value to take from the merchant, you leave him to deal with the broken wheel by himself and continue down the road."
EVENT_BrokenCart_Drink2_Gained_Muddle,"The wine tastes good, but perhaps a little too good - you all drink far more than you probably should. You stumble away, well and truly intoxicated."
EVENT_BrokenCart_Drink2_Gained_Strengthen,The wine tastes incredible - you all feel invigorated for having consumed such a fine vintage. You leave the merchant to deal with the broken wheel by himself and continue down the road.
EVENT_BrokenCart_Help,"You tap the wine merchant on the shoulder, startling him enough to make him jump into the air.

""GAH! Don't sneak up on an old man like that!""

His beady eyes glance around the party through a pair of dirty, scratched spectacles. Just as you are about to open your mouth to offer assistance, he snaps at you.

""Are you just going to stand there all day? You there, stop gawping and lift the cart up, and you, hold the wheel steady! On the count of three - that is, ON three, NOT after - you're going to lift the wheel and..."
EVENT_BrokenCart_Help2,"You manage to get the wheel back onto the cart without too much difficulty, although as far as the merchant is concerned he ""could've done it much more easily without the help of you buffoons!"" The merchant continues to rant about your ineptitude as he departs without even an uttering a word of thanks.

As you are about to leave, you notice a bottle of wine has fallen off of the cart into the shrubs by the side of the road. With the merchant already some distance down the road, you decide to take it as repayment for your assistance and share it amongst the party."
EVENT_BrokenCart_Help2_Gained,"You manage to get the wheel back onto the cart without too much difficulty, although as far as the merchant is concerned he \""could've done it much more easily without the help of you buffoons!\"" The merchant continues to rant about your ineptitude as he tosses you a handful of coins for your assistance and departs without even an uttering a word of thanks."
EVENT_BrokenCart_Help2_Gained_Next,Next
EVENT_BrokenCart_Help_A,Help the wine merchant
